epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,148.218,1.93624,1.19553,1.08587,0.7691,0.7618,0.7854,0.40178,1.60955,1.02477,1.06804,0.006304,0.006304,0.006304
58,150.619,1.85511,1.23776,1.07968,0.71188,0.72319,0.72206,0.34462,1.70708,1.11775,1.06885,0.006238,0.006238,0.006238
59,153.048,1.9909,1.33785,1.10851,0.74561,0.74549,0.76924,0.40283,1.5721,1.04894,1.05205,0.006172,0.006172,0.006172
60,155.538,1.80551,1.15532,1.06507,0.72082,0.70472,0.73489,0.34057,1.76437,1.14901,1.07879,0.006106,0.006106,0.006106
61,157.903,1.98887,1.24455,1.11047,0.75679,0.74077,0.77951,0.41657,1.5844,1.03793,1.05504,0.00604,0.00604,0.00604
62,160.787,1.89465,1.25031,1.10115,0.69916,0.69442,0.69855,0.3218,1.75484,1.17714,1.07443,0.005974,0.005974,0.005974
63,163.309,1.83041,1.18688,1.092,0.73875,0.73668,0.75815,0.38776,1.59933,1.06878,1.06648,0.005908,0.005908,0.005908
64,166.005,1.8238,1.19239,1.08255,0.69025,0.69742,0.69668,0.36815,1.60986,1.09787,1.05624,0.005842,0.005842,0.005842
65,168.387,1.79014,1.15939,1.07877,0.72698,0.72403,0.74115,0.37186,1.64146,1.07421,1.08782,0.005776,0.005776,0.005776
66,170.832,1.79842,1.16424,1.0759,0.69547,0.68805,0.69536,0.30211,1.77259,1.15572,1.08269,0.00571,0.00571,0.00571
67,173.436,1.75086,1.18965,1.05865,0.73104,0.7309,0.75805,0.39079,1.58155,1.08563,1.05617,0.005644,0.005644,0.005644
68,175.877,1.79185,1.18137,1.06865,0.68069,0.66423,0.66291,0.25223,1.88129,1.23962,1.1091,0.005578,0.005578,0.005578
69,178.354,1.79226,1.13118,1.06441,0.68434,0.63348,0.66223,0.27567,1.95057,1.24215,1.13348,0.005512,0.005512,0.005512
70,180.795,1.78137,1.17066,1.07755,0.73939,0.71845,0.74883,0.36076,1.69387,1.08142,1.06788,0.005446,0.005446,0.005446
71,183.126,1.85132,1.14208,1.08692,0.77959,0.77296,0.80426,0.43367,1.55846,1.00258,1.0475,0.00538,0.00538,0.00538
72,185.563,1.80128,1.1334,1.07507,0.76397,0.76267,0.7854,0.41441,1.5866,1.02422,1.04852,0.005314,0.005314,0.005314
73,187.885,1.84483,1.12132,1.08017,0.78916,0.77597,0.81325,0.43825,1.55575,0.97816,1.0461,0.005248,0.005248,0.005248
74,190.701,1.86465,1.13445,1.08478,0.74756,0.74607,0.76613,0.38698,1.6385,1.04298,1.05717,0.005182,0.005182,0.005182
75,193.395,1.92328,1.1795,1.08529,0.78579,0.77039,0.80139,0.43387,1.53261,0.98955,1.04112,0.005116,0.005116,0.005116
76,195.871,1.86635,1.15256,1.06887,0.74562,0.74097,0.76039,0.37934,1.66866,1.0451,1.05974,0.00505,0.00505,0.00505
77,198.238,1.79283,1.15393,1.08623,0.76788,0.7721,0.80302,0.43374,1.55962,0.9978,1.04553,0.004984,0.004984,0.004984
78,200.958,1.81745,1.12793,1.05816,0.76237,0.76652,0.7999,0.42678,1.57148,0.98054,1.04753,0.004918,0.004918,0.004918
79,203.702,1.79098,1.1527,1.06876,0.77577,0.76953,0.80185,0.40234,1.63074,1.01054,1.07253,0.004852,0.004852,0.004852
80,206.239,1.83214,1.15157,1.04496,0.74267,0.74936,0.77724,0.39358,1.62943,1.03177,1.04958,0.004786,0.004786,0.004786
81,208.72,1.81214,1.11483,1.0546,0.77122,0.77082,0.80759,0.44196,1.5321,0.97979,1.03119,0.00472,0.00472,0.00472
82,210.969,1.78382,1.09641,1.05968,0.78303,0.7618,0.79931,0.42743,1.57963,0.99095,1.04576,0.004654,0.004654,0.004654
83,213.433,1.861,1.15183,1.09203,0.78876,0.78455,0.81184,0.40372,1.68926,0.98234,1.09401,0.004588,0.004588,0.004588
84,216.137,1.81208,1.10258,1.07698,0.78686,0.78069,0.81414,0.4393,1.57089,0.95937,1.04372,0.004522,0.004522,0.004522
85,218.47,1.72833,1.0878,1.05435,0.77271,0.77623,0.80739,0.42393,1.59777,0.99915,1.05349,0.004456,0.004456,0.004456
86,221.163,1.817,1.09267,1.05512,0.76505,0.77004,0.79734,0.40593,1.60742,0.99944,1.04957,0.00439,0.00439,0.00439
87,223.558,1.72106,1.04309,1.06001,0.78872,0.78828,0.8185,0.44087,1.56913,0.97008,1.03729,0.004324,0.004324,0.004324
88,225.844,1.74069,1.07617,1.06937,0.69247,0.59957,0.63785,0.21007,2.2124,1.31783,1.18562,0.004258,0.004258,0.004258
89,228.233,1.76021,1.07485,1.05631,0.78767,0.77468,0.81222,0.43657,1.58133,0.98424,1.03731,0.004192,0.004192,0.004192
90,231.041,1.83638,1.09037,1.05728,0.7439,0.71433,0.74208,0.32097,1.86267,1.1188,1.10073,0.004126,0.004126,0.004126
91,233.427,1.88368,1.1779,1.08054,0.79812,0.77725,0.81679,0.43423,1.58253,0.95595,1.04193,0.00406,0.00406,0.00406
92,236.174,1.80743,1.10967,1.06286,0.73138,0.71048,0.74624,0.35568,1.73633,1.06623,1.06967,0.003994,0.003994,0.003994
