epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2378.99,1.79254,1.15369,1.08118,0.69505,0.69648,0.71303,0.31881,1.77631,1.15205,1.09076,0.00571,0.00571,0.00571
67,2417.73,1.74722,1.17646,1.06287,0.71733,0.71774,0.74935,0.38987,1.58744,1.08262,1.0556,0.005644,0.005644,0.005644
68,2456.47,1.78135,1.17649,1.0692,0.72015,0.7245,0.74334,0.36743,1.64173,1.07535,1.05764,0.005578,0.005578,0.005578
69,2494.99,1.77573,1.12383,1.06659,0.75321,0.74034,0.7819,0.40595,1.59048,1.0224,1.0611,0.005512,0.005512,0.005512
70,2534.03,1.77064,1.15511,1.07766,0.73626,0.73348,0.76214,0.38482,1.63525,1.03957,1.06062,0.005446,0.005446,0.005446
71,2574.08,1.84755,1.13797,1.08937,0.76519,0.74678,0.79442,0.43065,1.54837,1.00313,1.04614,0.00538,0.00538,0.00538
72,2612.73,1.77918,1.11542,1.07476,0.7609,0.74575,0.78013,0.41147,1.59261,1.01607,1.05173,0.005314,0.005314,0.005314
73,2651.35,1.84021,1.11018,1.0812,0.77532,0.76271,0.80263,0.42714,1.56444,0.97461,1.05107,0.005248,0.005248,0.005248
74,2694.75,1.84568,1.12544,1.08528,0.73923,0.74206,0.76833,0.37804,1.6556,1.05422,1.06208,0.005182,0.005182,0.005182
75,2737.1,1.91551,1.16528,1.09017,0.75453,0.76309,0.78672,0.42867,1.52753,0.99268,1.03876,0.005116,0.005116,0.005116
76,2776.33,1.85567,1.14327,1.07233,0.74362,0.7412,0.76047,0.37431,1.69537,1.05589,1.06675,0.00505,0.00505,0.00505
77,2815.39,1.78107,1.1421,1.08589,0.76598,0.76481,0.79844,0.42828,1.55329,1.00065,1.04831,0.004984,0.004984,0.004984
78,2854.32,1.7933,1.11298,1.05719,0.77143,0.7618,0.80347,0.4329,1.55766,0.96442,1.05017,0.004918,0.004918,0.004918
79,2893.43,1.77671,1.13447,1.0718,0.76511,0.75794,0.79715,0.39872,1.60835,0.99899,1.06641,0.004852,0.004852,0.004852
80,2934.42,1.8155,1.13586,1.04996,0.7519,0.74979,0.78379,0.41537,1.59856,1.00655,1.04878,0.004786,0.004786,0.004786
81,2975.41,1.80184,1.11115,1.0573,0.7511,0.71231,0.75806,0.38556,1.6535,1.0414,1.06024,0.00472,0.00472,0.00472
82,3012.69,1.7855,1.07872,1.07049,0.76283,0.77716,0.80776,0.43219,1.55135,0.96469,1.04679,0.004654,0.004654,0.004654
83,3051.67,1.8211,1.13362,1.08001,0.77523,0.75966,0.79465,0.4234,1.60612,0.9791,1.04838,0.004588,0.004588,0.004588
84,3093.22,1.78504,1.07883,1.07194,0.78468,0.77425,0.81405,0.42663,1.58521,0.95771,1.05355,0.004522,0.004522,0.004522
85,3130.11,1.79454,1.11483,1.06947,0.74818,0.74549,0.77307,0.36918,1.71316,1.05754,1.06268,0.004456,0.004456,0.004456
86,3173.88,1.79869,1.09816,1.05314,0.76692,0.77813,0.80527,0.42573,1.56103,0.9795,1.04125,0.00439,0.00439,0.00439
87,3212.51,1.67206,1.02421,1.05045,0.7625,0.76695,0.78683,0.39856,1.64281,1.01036,1.04854,0.004324,0.004324,0.004324
88,3250.51,1.72777,1.03857,1.07492,0.78566,0.76996,0.81167,0.43982,1.55328,0.94932,1.04263,0.004258,0.004258,0.004258
89,3289.46,1.73333,1.05136,1.05737,0.74187,0.67253,0.72579,0.32497,1.83456,1.10562,1.09618,0.004192,0.004192,0.004192
90,3330.34,1.84921,1.08311,1.06588,0.77037,0.76824,0.8049,0.42907,1.56222,0.96701,1.04257,0.004126,0.004126,0.004126
91,3367.89,1.82684,1.15853,1.07348,0.73978,0.69614,0.74567,0.36177,1.69731,1.0491,1.07353,0.00406,0.00406,0.00406
92,3411.2,1.76079,1.09312,1.05963,0.76503,0.76567,0.79836,0.40917,1.59697,0.99037,1.05505,0.003994,0.003994,0.003994
93,3452.18,1.75661,1.04586,1.06777,0.78871,0.77382,0.81673,0.42588,1.59701,0.93458,1.05808,0.003928,0.003928,0.003928
94,3491.23,1.77294,1.07068,1.05255,0.7703,0.74635,0.79297,0.40638,1.63922,0.98971,1.05598,0.003862,0.003862,0.003862
95,3531.53,1.76043,1.04144,1.06617,0.79408,0.76137,0.81583,0.42642,1.58004,0.9444,1.05556,0.003796,0.003796,0.003796
96,3572.55,1.79656,1.08295,1.05964,0.78045,0.78115,0.81431,0.42941,1.55696,0.95277,1.03797,0.00373,0.00373,0.00373
97,3613.12,1.74478,1.06753,1.05374,0.77961,0.78795,0.81284,0.41499,1.60914,0.96945,1.0604,0.003664,0.003664,0.003664
98,3652.71,1.74791,1.02745,1.05446,0.78228,0.77425,0.80536,0.43034,1.53354,0.95201,1.03024,0.003598,0.003598,0.003598
99,3691.31,1.74364,1.05386,1.05415,0.78389,0.79551,0.82096,0.42868,1.57602,0.93244,1.04975,0.003532,0.003532,0.003532
100,3731.49,1.72823,1.03469,1.05394,0.78706,0.75034,0.792,0.42069,1.58278,0.95821,1.03712,0.003466,0.003466,0.003466
101,3770.13,1.73202,1.04957,1.04898,0.78683,0.79785,0.82395,0.44524,1.5303,0.91829,1.03897,0.0034,0.0034,0.0034
102,3810.45,1.70343,1.02107,1.04852,0.77906,0.79828,0.81854,0.45492,1.49328,0.91545,1.02228,0.003334,0.003334,0.003334
103,3846.73,1.68104,1.00482,1.04745,0.79362,0.79785,0.82227,0.45397,1.51073,0.90458,1.0325,0.003268,0.003268,0.003268
104,3887.39,1.71627,1.04661,1.05259,0.77769,0.80215,0.816,0.45716,1.48954,0.90549,1.02654,0.003202,0.003202,0.003202
105,3928.26,1.73389,1.03436,1.04271,0.79316,0.79571,0.82348,0.45071,1.51062,0.90954,1.02704,0.003136,0.003136,0.003136
106,3968.22,1.68144,0.98178,1.04535,0.79518,0.7948,0.8215,0.45027,1.51633,0.90371,1.03315,0.00307,0.00307,0.00307
107,4011.16,1.80111,1.02639,1.04373,0.78216,0.78155,0.81423,0.43821,1.54419,0.92186,1.03225,0.003004,0.003004,0.003004
108,4053.12,1.74022,1.03326,1.06816,0.77775,0.79151,0.81586,0.44998,1.50868,0.92172,1.02704,0.002938,0.002938,0.002938
109,4092.85,1.70591,0.98991,1.03049,0.79307,0.79957,0.82338,0.45359,1.51194,0.9021,1.02677,0.002872,0.002872,0.002872
110,4133.06,1.70835,1.00611,1.05923,0.78848,0.78714,0.81748,0.45111,1.51801,0.91286,1.026,0.002806,0.002806,0.002806
